ID,TARGET,proba_bom_pagador_label_0,proba_mau_pagador_label_1
61900,1,0.45496863,0.54503137
300199,0,0.73292863,0.2670714
45656,0,0.8049513,0.19504867
153386,1,0.47766346,0.52233654
321676,0,0.79764795,0.20235208
323191,0,0.6027477,0.39725235
135676,1,0.49430507,0.5056949
261459,0,0.78229254,0.21770746
102863,0,0.62840253,0.37159747
325613,0,0.6400491,0.35995087
160603,0,0.80331707,0.19668296
251740,0,0.8151048,0.18489523
227383,0,0.6925591,0.30744085
291662,1,0.38239235,0.61760765
172689,0,0.772187,0.22781304
240648,0,0.7039231,0.29607686
225959,0,0.5597433,0.44025674
146877,0,0.52763826,0.47236174
241813,1,0.29137897,0.708621
273288,1,0.22110498,0.778895
126731,0,0.6575142,0.34248576
34905,1,0.49687028,0.5031297
44257,0,0.8509825,0.14901751
51232,0,0.6539726,0.3460274
314694,1,0.4604553,0.5395447
275166,0,0.62805545,0.37194452
105704,0,0.6975955,0.30240455
315361,0,0.6301278,0.36987224
231408,0,0.70691687,0.29308313
106486,1,0.4900384,0.5099616
193202,0,0.62077487,0.37922513
16105,1,0.4500869,0.5499131
246706,0,0.7514867,0.2485133
32032,0,0.61899155,0.38100845
292995,0,0.5182057,0.4817943
21778,0,0.70214653,0.2978535
17688,1,0.39908206,0.60091794
53051,0,0.74866617,0.2513338
3923,0,0.643557,0.356443
321528,0,0.70249915,0.29750088
321072,1,0.45288044,0.54711956
24078,0,0.66855305,0.33144695
139920,0,0.5560086,0.4439914
197194,1,0.39085853,0.60914147
167933,1,0.4793676,0.5206324
48014,0,0.7758625,0.2241375
140021,0,0.5267166,0.47328344
76397,0,0.5829989,0.41700113
30289,0,0.7730305,0.22696951
199515,0,0.7682195,0.2317805
229250,0,0.82107276,0.17892723
101828,1,0.4107464,0.5892536
88558,0,0.6775011,0.3224989
182843,0,0.73542553,0.26457447
251938,0,0.8432895,0.15671054
210721,0,0.60258955,0.39741045
133748,0,0.5494081,0.4505919
147007,0,0.87049603,0.12950394
182611,1,0.32365316,0.67634684
90275,1,0.34685355,0.65314645
242960,0,0.70290816,0.29709187
106761,0,0.6907143,0.3092857
254783,0,0.65852916,0.34147084
169680,1,0.46523798,0.534762
311979,1,0.40172702,0.598273
306852,0,0.6112653,0.38873473
277382,0,0.63048244,0.36951753
46153,0,0.8106729,0.1893271
31934,0,0.59071654,0.40928346
218765,1,0.46899474,0.53100526
213957,0,0.5353291,0.4646709
263622,0,0.6927036,0.3072964
158627,1,0.3064499,0.6935501
137274,1,0.45644355,0.54355645
326554,0,0.6720315,0.3279685
288672,0,0.7175882,0.28241178
321920,0,0.6313975,0.36860248
149987,0,0.83983123,0.16016877
238191,0,0.5808558,0.4191442
260414,1,0.49311143,0.50688857
300338,0,0.648149,0.35185096
277068,0,0.63415664,0.36584336
218504,1,0.4443313,0.5556687
328342,1,0.38603705,0.61396295
286593,1,0.4146589,0.5853411
271466,0,0.5994748,0.40052518
133138,1,0.48090267,0.5190973
91366,0,0.80517596,0.19482404
322189,1,0.43790442,0.5620956
168223,0,0.7098814,0.29011855
233394,0,0.81843615,0.18156382
241281,1,0.3094911,0.6905089
72251,0,0.71695566,0.28304434
54436,0,0.7310376,0.26896235
12447,1,0.27886766,0.72113234
320351,0,0.514639,0.485361
317063,0,0.7015827,0.2984173
81860,0,0.5392121,0.46078792
32255,0,0.7758819,0.2241181
257994,0,0.6139789,0.38602108
15802,0,0.5002787,0.49972132
11977,0,0.5765376,0.42346236
247893,1,0.4787467,0.5212533
157938,0,0.5462799,0.45372006
119933,0,0.89672583,0.10327419
130599,0,0.6375452,0.3624548
255543,0,0.50282866,0.49717134
30923,1,0.4259807,0.5740193
168102,0,0.6429079,0.35709208
91796,0,0.61790264,0.3820974
117704,0,0.6409395,0.35906056
203075,1,0.35859185,0.64140815
303506,1,0.4043616,0.5956384
297834,0,0.53852975,0.46147025
307716,0,0.61533034,0.38466966
270964,0,0.5217142,0.47828582
11056,0,0.50732803,0.492672
119995,0,0.7273745,0.2726255
327077,0,0.76310253,0.23689748
149776,1,0.34982628,0.6501737
251049,1,0.45906442,0.5409356
180323,0,0.5084033,0.4915967
242757,0,0.5643976,0.4356024
297815,0,0.83992577,0.16007423
243302,0,0.69688714,0.30311283
148247,0,0.9443555,0.055644542
147303,0,0.57786775,0.42213222
328911,1,0.37727553,0.6227245
40370,1,0.34495515,0.65504485
277020,1,0.41389674,0.58610326
39627,1,0.31876892,0.6812311
236306,1,0.48479122,0.5152088
301260,0,0.5877305,0.41226944
125536,0,0.61939514,0.3806049
306,0,0.7624899,0.2375101
185200,1,0.39181906,0.60818094
310387,1,0.40155214,0.59844786
193823,0,0.52574164,0.47425836
293509,0,0.5395514,0.46044865
254301,0,0.74406505,0.25593492
129080,0,0.58782536,0.41217464
205115,0,0.65678334,0.34321666
159759,1,0.42557818,0.5744218
35575,1,0.49945033,0.5005497
215872,0,0.74367565,0.25632435
131918,0,0.8027996,0.1972004
62151,1,0.42057312,0.5794269
209812,1,0.31491572,0.6850843
289171,1,0.4981503,0.5018497
124606,0,0.6977605,0.30223948
123753,1,0.30781305,0.69218695
231347,0,0.67022055,0.32977945
8675,1,0.31293982,0.6870602
294419,0,0.53895646,0.46104354
